;Product Progress;Logins;Start Date;Last Activity At;Days Lapsed;Months Lapsed
454;13;242;2018-05-06;2023-03-03;251.71;62.93
455;91;123;2018-05-05;2022-12-04;239.14;59.78
456;8;15;2018-04-30;2018-05-28;4.0;1.0
457;18;53;2018-09-03;2020-12-02;117.29;29.32
458;97;82;2018-05-08;2020-06-04;108.29;27.07
459;2;21;2020-04-06;2020-05-05;4.14;1.03
460;92;270;2018-05-06;2023-03-04;251.86;62.96
461;80;148;2018-04-29;2022-01-28;195.71;48.93
462;53;248;2018-05-06;2021-05-13;157.57;39.39
463;37;107;2018-12-30;2023-04-25;225.29;56.32
465;19;24;2018-09-03;2018-11-20;11.14;2.78
466;80;169;2019-06-16;2022-11-30;180.43;45.11
467;93;183;2018-07-06;2023-03-15;244.71;61.18
468;13;26;2018-05-13;2019-02-24;41.0;10.25
469;54;99;2018-09-15;2023-01-18;226.57;56.64
470;62;190;2018-05-23;2023-04-11;254.86;63.72
471;98;216;2018-10-03;2023-04-25;237.86;59.46
473;14;37;2019-07-29;2020-12-14;72.0;18.0
474;22;89;2018-04-30;2023-05-02;261.14;65.28
475;34;180;2020-02-03;2023-03-27;164.0;41.0
476;71;141;2018-05-07;2023-04-18;258.14;64.54
477;26;137;2018-04-29;2023-02-02;248.57;62.14
478;92;111;2018-12-16;2023-05-01;228.14;57.04
480;1;41;2018-06-29;2018-09-19;11.71;2.93
481;62;276;2018-11-14;2023-04-13;230.14;57.54
482;68;135;2018-09-17;2022-12-16;221.57;55.39
483;31;53;2018-05-03;2020-06-05;109.14;27.28
484;18;24;2018-05-08;2019-08-09;65.43;16.36
485;29;169;2018-05-22;2023-02-20;247.86;61.96
486;66;139;2018-05-01;2022-10-09;231.71;57.93
487;67;518;2018-09-17;2023-05-13;242.71;60.68
488;21;51;2018-05-13;2021-07-21;166.43;41.61
489;14;39;2018-05-06;2018-05-26;2.86;0.72
490;4;28;2018-04-29;2022-03-16;202.43;50.61
491;25;62;2018-05-08;2023-04-26;259.14;64.78
492;29;128;2018-05-29;2019-04-04;44.29;11.07
493;9;35;2018-05-04;2022-11-23;237.71;59.43
494;87;290;2018-04-29;2023-05-01;261.14;65.28
495;5;19;2019-08-17;2019-12-26;18.71;4.68
496;23;79;2018-04-29;2021-10-04;179.14;44.78
497;18;30;2018-05-01;2018-09-13;19.29;4.82
498;85;71;2018-05-06;2018-11-30;29.71;7.43
499;22;116;2019-12-01;2021-12-08;105.43;26.36
500;12;67;2018-06-01;2022-10-09;227.29;56.82
501;32;32;2018-05-08;2022-12-09;239.43;59.86
502;31;48;2018-04-30;2019-07-24;64.29;16.07
503;97;456;2018-04-30;2019-07-24;64.29;16.07
504;25;131;2019-06-30;2022-12-30;182.71;45.68
506;52;68;2018-05-02;2018-11-18;28.57;7.14
507;88;597;2018-09-02;2023-05-13;244.86;61.22
508;93;80;2018-05-06;2019-07-26;63.71;15.93
509;63;140;2018-04-30;2020-05-02;104.71;26.18
510;5;90;2018-07-09;2021-10-13;170.29;42.57
511;7;23;2018-07-01;2018-08-05;5.0;1.25
512;15;189;2018-05-14;2021-08-24;171.14;42.78
513;96;95;2018-04-29;2021-01-22;142.71;35.68
514;30;90;2018-04-29;2021-12-05;188.0;47.0
515;44;68;2018-05-15;2021-12-02;185.29;46.32
516;41;157;2018-11-27;2023-04-12;228.14;57.04
517;33;190;2019-05-07;2023-04-22;206.57;51.64
518;88;119;2018-09-03;2022-08-27;207.71;51.93
519;83;109;2018-09-03;2020-02-06;74.43;18.61
520;14;39;2018-09-10;2019-03-03;24.86;6.22
521;28;110;2019-01-16;2022-03-14;164.71;41.18
522;1;8;2018-06-09;2018-07-30;7.29;1.82
523;93;310;2019-06-23;2023-04-02;197.0;49.25
525;5;464;2019-09-04;2023-05-11;192.14;48.04
527;66;88;2018-05-07;2020-01-02;86.43;21.61
528;7;99;2018-09-03;2023-01-09;227.0;56.75
530;2;1;2018-04-22;2018-04-22;0.0;0.0
532;7;16;2018-04-29;2019-08-22;68.57;17.14
